geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031190602,2,2,1,0,0,4,2,1,0,0,0,1,0,1
17031190701,1,1,3,0,0,0,1,0,0,0,0,0,1,3
17031190702,0,1,2,0,2,1,1,0,0,1,0,0,2,3
17031190800,3,2,2,0,0,4,3,0,0,0,0,0,1,4
17031190900,0,1,0,0,1,4,1,0,0,0,0,1,2,1
17031191000,2,0,0,0,1,6,2,0,0,0,0,0,4,0
17031191100,3,4,1,0,1,4,2,1,0,0,0,1,1,3
17031191200,0,5,5,0,0,2,0,1,0,0,0,0,2,3
17031191301,0,3,2,0,0,0,4,0,0,0,0,0,1,3
17031191302,0,1,0,0,0,1,2,0,0,0,0,0,0,4
17031200100,1,0,1,0,1,3,1,1,0,0,0,0,0,2
17031200200,0,3,1,0,0,3,4,1,0,0,0,1,1,4
17031200300,1,2,0,0,1,0,2,0,0,0,1,1,1,1
17031200401,0,1,0,0,0,1,3,0,0,0,0,0,1,1
17031200402,0,5,2,1,0,2,2,0,0,0,2,1,0,2
17031210100,0,2,2,4,1,11,4,2,1,0,2,2,9,5
17031210400,0,2,1,7,0,0,2,0,0,0,0,2,0,1
17031210501,2,1,2,0,2,11,4,0,0,0,1,1,1,1
17031210502,0,2,1,1,1,4,5,0,0,0,4,0,0,0
17031210601,0,1,1,1,0,4,1,1,0,0,1,2,0,1
17031210602,0,2,1,2,1,13,3,3,1,0,2,3,6,2
17031210700,3,1,1,0,0,8,6,0,0,0,3,2,3,4
17031210800,0,1,1,0,0,4,1,0,0,0,2,0,1,1
17031210900,1,1,1,4,0,9,1,1,2,0,4,2,1,2
17031220300,1,2,1,0,0,3,0,0,0,0,2,1,4,0
17031220400,2,3,0,1,2,10,2,2,0,0,6,5,4,3
17031220500,0,2,3,2,0,28,5,4,0,0,6,7,15,0
17031220601,2,4,2,1,0,9,1,4,2,0,1,2,3,0
17031220602,0,5,1,4,0,15,6,4,1,0,3,5,13,2
17031220701,0,2,2,0,0,3,5,2,0,0,0,0,3,0
17031220702,1,1,2,4,0,3,5,1,0,0,1,3,5,2
17031220901,1,1,1,0,0,1,1,1,0,0,1,0,0,0
17031220902,1,4,3,0,0,8,5,2,0,1,0,2,7,1
17031221000,0,0,0,0,0,5,2,0,1,0,1,0,3,0
17031221100,3,3,0,1,1,9,3,2,0,0,4,2,2,3
17031221200,0,5,2,2,0,5,2,1,0,0,0,1,0,1
17031221300,0,4,1,0,2,18,8,2,0,0,12,5,5,3
17031221400,0,1,2,2,2,17,3,2,1,0,5,6,13,4
17031221500,0,2,0,1,2,9,4,1,0,0,3,5,1,3
17031221600,0,0,1,0,0,13,3,1,0,1,2,1,2,1
17031222200,2,2,1,2,1,11,0,1,1,0,3,2,8,2
17031222500,0,1,1,0,0,2,3,0,0,0,1,1,0,1
17031222600,0,0,0,0,1,5,0,0,0,0,1,0,2,1
17031222700,0,1,0,10,0,7,1,0,0,0,2,0,2,1
17031222800,0,2,0,6,1,1,2,0,0,0,0,1,0,0
17031222900,1,1,1,1,0,1,4,0,0,0,1,0,1,1
