h3_index,poi_count,count_poi_types,poi_type_list,poi_list
882664cdabfffff,2,1,"picnic_site, picnic_site","Dan Ryan South Picnic Grove 12, Dan Ryan Woods South Picnic Shelter Grove 11"
882664cdadfffff,10,8,"fast_food, ice_cream, fast_food, mobile_phone, bicycle_rental, bicycle_rental, bakery, bank, library, school","Dunkin', Baskin-Robbins, Subway, Metro by T-Mobile, Francisco Ave & 85th St, Kedzie Ave & 83rd St, D&D’s Place, Chase, Wrightwood-Ashburn Branch Library, Carroll Elementary School"
882664cdb1fffff,1,1,place_of_worship,Trinity United Methodist Church
882664cdb3fffff,10,8,"fast_food, bicycle_rental, place_of_worship, funeral_directors, pharmacy, cafe, shelter, place_of_worship, place_of_worship, school","Subway, Walden Pkwy & 100th St, Beverly Unitarian Church, Heavenly Angels Funeral Home, CVS Pharmacy, Starbucks, 103rd Street - Beverly Hills, Saint Barnabas Roman Catholic Church, Bethany Union Church, Saint Barnabas School"
882664cdb5fffff,2,2,"clinic, fast_food",Wendy's
882664cdb7fffff,16,12,"school, bakery, bar, convenience, cafe, bicycle_rental, school, car_repair, fuel, convenience, pharmacy, car_wash, fast_food, convenience, restaurant, fuel","The Reading House, Ain't She Sweet Cafe, Sean’s Rhino Bar & Grill, BP Shop, AndySunflower Café, Western Ave & 101st St, Sutherland Elementary School, Car-X, BP, 7-Eleven, Walgreens, Sparkle Express Car Wash, Janson's Drive-In, Shell, Fox's Pub, Shell"
882664cdb9fffff,24,15,"kindergarten, place_of_worship, museum, bakery, cafe, cafe, mobile_phone, library, fire_station, fast_food, fast_food, place_of_worship, fast_food, place_of_worship, supermarket, school, place_of_worship, bank, variety_store, place_of_worship, bank, pharmacy, variety_store, bus_station","Lolly Pop Nursery School and Kindergarten, Southside Unity Center of Christianity, Vanderpoel Art Museum, Jimmy Jamm Sweet Potato Pies, Two Mile Coffee Bar. Co, Munchiez, Boost Mobile, Beverly Branch Library, Chicago Fire Department Engine Company 121, Taco Bell, Burger King, Saint Paul's Union Church, McDonald's, Prayer Tabernacle Church of God in Christ, Jewel-Osco, Vanderpoel Magnet School, Church of the Holy Nativity, BMO, Dollar Tree, Beverly Hills Seventh Day Adventist Church, Old Second National Bank, Walgreens, Dollar General, Ashland & 95th Street Terminal"
882664cdbbfffff,5,4,"cafe, cafe, artwork, restaurant, place_of_worship","Two Mile Coffee Bar, Afro Joe's Coffee & Tea, Sanders BBQ Supply Co, Saint Andrews-Cheney Memorial Reformed Episcopal Church"
882664cdbdfffff,17,12,"mobile_phone, charity, fast_food, bank, clinic, place_of_worship, events_venue, restaurant, fast_food, clothes, fast_food, variety_store, bank, car, school, school, place_of_worship","AT&T, Goodwill, Chipotle, Chase, Passport Health Evergreen Park Travel Clinic, Christ the King Roman Catholic Church, The Vineyard, Barraco's Pizza, Top Notch Beefburgers, Andriana Furs, Rainbow Cone, Dollar Tree, Citibank, Evergreen Kia, Kate S Kellogg Elementary School, Christ the King School, Bethlehem Lutheran Church"
882664cdc1fffff,8,5,"place_of_worship, place_of_worship, artwork, place_of_worship, fast_food, library, place_of_worship, supermarket","Back to God Christian Reformed Church, Mount Elim Missionary Baptist Church, Thurgood Marshall, Freedom Temple Church of God In Christ, Popeyes, Thurgood Marshall Branch Library, Rose Of Light MB Church, Walmart Neighborhood Market"
882664cdc3fffff,25,12,"place_of_worship, place_of_worship, place_of_worship, kindergarten, place_of_worship, place_of_worship, place_of_worship, place_of_worship, social_facility, artwork, pharmacy, restaurant, community_centre, cafe, social_facility, social_facility, chemist, place_of_worship, school, place_of_worship, place_of_worship, convenience, fuel, school, school","New Birth Strong Hope Missionary Baptist Church, Kendrick Memorial Missionary Baptist Church, Community Faith Baptist Church, Childrens House Preschool, North Wells Gospel Mission, Original Glorious Apostolic Faith Church, Faith Pentecostal Holiness Church, Victory Apostolic Faith Church, Auburn Gresham Senior Satellite Center, Renaissance Park Sculpture, Walgreens, Dirty Birds Southern Kitchen, Englewood Community Service Center, Brewer Coffee & Custard, Senior Suites of Auburn Gresham, St. Sabina Elders Village Apartments, Walgreens, Southside Worship Center, Saint Sabina School, Saint Sabina Roman Catholic Church, Saint Matthew Evangelical Lutheran Church, Citgo, Citgo, Perspectives High School of Technology, Leo High School"
882664cdc5fffff,9,7,"variety_store, bicycle_rental, bicycle_rental, variety_store, place_of_worship, car_parts, school, fast_food, bus_station","Family Dollar, Ashland Ave & 74th St, Damen Ave & 74th St, Dollar Tree, West Seventy Fourth Street Church of Christ, AutoZone, Clara Barton Elementary School, Burger King, 74th Street & Damen Terminal"
